 Game #1     Home Team: eagles     Away Team: falcons
 Game #2     Home Team: ravens     Away Team: bills
 Game #3     Home Team: browns     Away Team: steelers
 Game #4     Home Team: colts     Away Team: bengals
 Game #5     Home Team: dolphins     Away Team: titans
 Game #6     Home Team: vikings     Away Team: 49ers
 Game #7     Home Team: patriots     Away Team: texans
 Game #8     Home Team: saints     Away Team: buccaneers
 Game #9     Home Team: giants     Away Team: jaguars
 Game #10     Home Team: chargers     Away Team: chiefs
 Game #11     Home Team: cardinals     Away Team: redskins
 Game #12     Home Team: panthers     Away Team: cowboys
 Game #13     Home Team: broncos     Away Team: seahawks
 Game #14     Home Team: packers     Away Team: bears
 Game #15     Home Team: lions     Away Team: jets
 Game #16     Home Team: raiders     Away Team: rams
