 Game #1     Home Team: seahawks     Away Team: packers
 Game #2     Home Team: ravens     Away Team: bengals
 Game #3     Home Team: bears     Away Team: vikings
 Game #4     Home Team: lions     Away Team: panthers
 Game #5     Home Team: colts     Away Team: titans
 Game #6     Home Team: falcons     Away Team: cowboys
 Game #7     Home Team: giants     Away Team: buccaneers
 Game #8     Home Team: redskins     Away Team: texans
 Game #9     Home Team: saints     Away Team: eagles
 Game #10     Home Team: cardinals     Away Team: raiders
 Game #11     Home Team: chargers     Away Team: broncos
 Game #12     Home Team: jaguars     Away Team: steelers
 Game #13     Home Team: rams     Away Team: chiefs
