 Game #1     Home Team: cowboys     Away Team: saints
 Game #2     Home Team: falcons     Away Team: ravens
 Game #3     Home Team: bengals     Away Team: broncos
 Game #4     Home Team: lions     Away Team: rams
 Game #5     Home Team: packers     Away Team: cardinals
 Game #6     Home Team: texans     Away Team: browns
 Game #7     Home Team: jaguars     Away Team: colts
 Game #8     Home Team: dolphins     Away Team: bills
 Game #9     Home Team: giants     Away Team: bears
 Game #10     Home Team: steelers     Away Team: chargers
 Game #11     Home Team: buccaneers     Away Team: panthers
 Game #12     Home Team: raiders     Away Team: chiefs
 Game #13     Home Team: titans     Away Team: jets
 Game #14     Home Team: patriots     Away Team: vikings
 Game #15     Home Team: seahawks     Away Team: 49ers
 Game #16     Home Team: eagles     Away Team: redskins
