 Game #1     Home Team: chiefs     Away Team: chargers
 Game #2     Home Team: broncos     Away Team: browns
 Game #3     Home Team: jets     Away Team: texans
 Game #4     Home Team: bears     Away Team: packers
 Game #5     Home Team: bills     Away Team: lions
 Game #6     Home Team: ravens     Away Team: buccaneers
 Game #7     Home Team: falcons     Away Team: cardinals
 Game #8     Home Team: bengals     Away Team: raiders
 Game #9     Home Team: colts     Away Team: cowboys
 Game #10     Home Team: jaguars     Away Team: redskins
 Game #11     Home Team: vikings     Away Team: dolphins
 Game #12     Home Team: giants     Away Team: titans
 Game #13     Home Team: 49ers     Away Team: seahawks
 Game #14     Home Team: steelers     Away Team: patriots
 Game #15     Home Team: rams     Away Team: eagles
 Game #16     Home Team: panthers     Away Team: saints
