 Game #1     Home Team: colts     Away Team: giants
 Game #2     Home Team: dolphins     Away Team: jaguars
 Game #3     Home Team: titans     Away Team: redskins
 Game #4     Home Team: panthers     Away Team: falcons
 Game #5     Home Team: browns     Away Team: bengals
 Game #6     Home Team: cowboys     Away Team: buccaneers
 Game #7     Home Team: lions     Away Team: vikings
 Game #8     Home Team: patriots     Away Team: bills
 Game #9     Home Team: jets     Away Team: packers
 Game #10     Home Team: eagles     Away Team: texans
 Game #11     Home Team: chargers     Away Team: ravens
 Game #12     Home Team: cardinals     Away Team: rams
 Game #13     Home Team: 49ers     Away Team: bears
 Game #14     Home Team: saints     Away Team: steelers
 Game #15     Home Team: seahawks     Away Team: chiefs
 Game #16     Home Team: raiders     Away Team: broncos
