 Game #1     Home Team: ravens     Away Team: browns
 Game #2     Home Team: packers     Away Team: lions
 Game #3     Home Team: texans     Away Team: jaguars
 Game #4     Home Team: chiefs     Away Team: raiders
 Game #5     Home Team: vikings     Away Team: bears
 Game #6     Home Team: patriots     Away Team: jets
 Game #7     Home Team: saints     Away Team: panthers
 Game #8     Home Team: giants     Away Team: cowboys
 Game #9     Home Team: steelers     Away Team: bengals
 Game #10     Home Team: buccaneers     Away Team: falcons
 Game #11     Home Team: titans     Away Team: colts
 Game #12     Home Team: redskins     Away Team: eagles
 Game #13     Home Team: bills     Away Team: dolphins
 Game #14     Home Team: seahawks     Away Team: cardinals
 Game #15     Home Team: broncos     Away Team: chargers
 Game #16     Home Team: rams     Away Team: 49ers
