 Game #1     Home Team: rams     Away Team: vikings
 Game #2     Home Team: jaguars     Away Team: jets
 Game #3     Home Team: patriots     Away Team: dolphins
 Game #4     Home Team: titans     Away Team: eagles
 Game #5     Home Team: falcons     Away Team: bengals
 Game #6     Home Team: bears     Away Team: buccaneers
 Game #7     Home Team: cowboys     Away Team: lions
 Game #8     Home Team: packers     Away Team: bills
 Game #9     Home Team: colts     Away Team: texans
 Game #10     Home Team: cardinals     Away Team: seahawks
 Game #11     Home Team: raiders     Away Team: browns
 Game #12     Home Team: chargers     Away Team: 49ers
 Game #13     Home Team: giants     Away Team: saints
 Game #14     Home Team: steelers     Away Team: ravens
 Game #15     Home Team: broncos     Away Team: chiefs
