 Game #1     Home Team: giants     Away Team: eagles
 Game #2     Home Team: falcons     Away Team: buccaneers
 Game #3     Home Team: bengals     Away Team: steelers
 Game #4     Home Team: browns     Away Team: chargers
 Game #5     Home Team: texans     Away Team: bills
 Game #6     Home Team: dolphins     Away Team: bears
 Game #7     Home Team: vikings     Away Team: cardinals
 Game #8     Home Team: jets     Away Team: colts
 Game #9     Home Team: raiders     Away Team: seahawks
 Game #10     Home Team: redskins     Away Team: panthers
 Game #11     Home Team: broncos     Away Team: rams
 Game #12     Home Team: cowboys     Away Team: jaguars
 Game #13     Home Team: titans     Away Team: ravens
 Game #14     Home Team: patriots     Away Team: chiefs
 Game #15     Home Team: packers     Away Team: 49ers
