 Game #1     Home Team: texans     Away Team: dolphins
 Game #2     Home Team: jaguars     Away Team: eagles
 Game #3     Home Team: panthers     Away Team: ravens
 Game #4     Home Team: bears     Away Team: jets
 Game #5     Home Team: bengals     Away Team: buccaneers
 Game #6     Home Team: lions     Away Team: seahawks
 Game #7     Home Team: chiefs     Away Team: broncos
 Game #8     Home Team: giants     Away Team: redskins
 Game #9     Home Team: steelers     Away Team: browns
 Game #10     Home Team: raiders     Away Team: colts
 Game #11     Home Team: cardinals     Away Team: 49ers
 Game #12     Home Team: rams     Away Team: packers
 Game #13     Home Team: vikings     Away Team: saints
 Game #14     Home Team: bills     Away Team: patriots
