 Game #1     Home Team: 49ers     Away Team: raiders
 Game #2     Home Team: bills     Away Team: bears
 Game #3     Home Team: panthers     Away Team: buccaneers
 Game #4     Home Team: browns     Away Team: chiefs
 Game #5     Home Team: dolphins     Away Team: jets
 Game #6     Home Team: ravens     Away Team: steelers
 Game #7     Home Team: vikings     Away Team: lions
 Game #8     Home Team: redskins     Away Team: falcons
 Game #9     Home Team: broncos     Away Team: texans
 Game #10     Home Team: seahawks     Away Team: chargers
 Game #11     Home Team: saints     Away Team: rams
 Game #12     Home Team: patriots     Away Team: packers
 Game #13     Home Team: cowboys     Away Team: titans
