 Game #1     Home Team: steelers     Away Team: panthers
 Game #2     Home Team: bengals     Away Team: saints
 Game #3     Home Team: browns     Away Team: falcons
 Game #4     Home Team: packers     Away Team: dolphins
 Game #5     Home Team: colts     Away Team: jaguars
 Game #6     Home Team: bears     Away Team: lions
 Game #7     Home Team: chiefs     Away Team: cardinals
 Game #8     Home Team: jets     Away Team: bills
 Game #9     Home Team: buccaneers     Away Team: redskins
 Game #10     Home Team: titans     Away Team: patriots
 Game #11     Home Team: raiders     Away Team: chargers
 Game #12     Home Team: rams     Away Team: seahawks
 Game #13     Home Team: eagles     Away Team: cowboys
 Game #14     Home Team: 49ers     Away Team: giants
