 Game #1     Home Team: lions     Away Team: bears
 Game #2     Home Team: cowboys     Away Team: redskins
 Game #3     Home Team: saints     Away Team: falcons
 Game #4     Home Team: bengals     Away Team: browns
 Game #5     Home Team: panthers     Away Team: seahawks
 Game #6     Home Team: bills     Away Team: jaguars
 Game #7     Home Team: ravens     Away Team: raiders
 Game #8     Home Team: colts     Away Team: dolphins
 Game #9     Home Team: jets     Away Team: patriots
 Game #10     Home Team: eagles     Away Team: giants
 Game #11     Home Team: buccaneers     Away Team: 49ers
 Game #12     Home Team: chargers     Away Team: cardinals
 Game #13     Home Team: broncos     Away Team: steelers
 Game #14     Home Team: vikings     Away Team: packers
 Game #15     Home Team: texans     Away Team: titans
