 Game #1     Home Team: titans     Away Team: jaguars
 Game #2     Home Team: bills     Away Team: jets
 Game #3     Home Team: bears     Away Team: rams
 Game #4     Home Team: browns     Away Team: panthers
 Game #5     Home Team: packers     Away Team: falcons
 Game #6     Home Team: texans     Away Team: colts
 Game #7     Home Team: chiefs     Away Team: ravens
 Game #8     Home Team: dolphins     Away Team: patriots
 Game #9     Home Team: buccaneers     Away Team: saints
 Game #10     Home Team: redskins     Away Team: giants
 Game #11     Home Team: chargers     Away Team: bengals
 Game #12     Home Team: 49ers     Away Team: broncos
 Game #13     Home Team: cardinals     Away Team: lions
 Game #14     Home Team: cowboys     Away Team: eagles
 Game #15     Home Team: raiders     Away Team: steelers
 Game #16     Home Team: seahawks     Away Team: vikings
