 Game #1     Home Team: bengals     Away Team: ravens
 Game #2     Home Team: falcons     Away Team: panthers
 Game #3     Home Team: bills     Away Team: chargers
 Game #4     Home Team: packers     Away Team: vikings
 Game #5     Home Team: saints     Away Team: browns
 Game #6     Home Team: jets     Away Team: dolphins
 Game #7     Home Team: steelers     Away Team: chiefs
 Game #8     Home Team: buccaneers     Away Team: eagles
 Game #9     Home Team: titans     Away Team: texans
 Game #10     Home Team: redskins     Away Team: colts
 Game #11     Home Team: rams     Away Team: cardinals
 Game #12     Home Team: 49ers     Away Team: lions
 Game #13     Home Team: broncos     Away Team: raiders
 Game #14     Home Team: jaguars     Away Team: patriots
 Game #15     Home Team: cowboys     Away Team: giants
 Game #16     Home Team: bears     Away Team: seahawks
