 Game #1     Home Team: browns     Away Team: jets
 Game #2     Home Team: falcons     Away Team: saints
 Game #3     Home Team: ravens     Away Team: broncos
 Game #4     Home Team: panthers     Away Team: bengals
 Game #5     Home Team: texans     Away Team: giants
 Game #6     Home Team: jaguars     Away Team: titans
 Game #7     Home Team: chiefs     Away Team: 49ers
 Game #8     Home Team: dolphins     Away Team: raiders
 Game #9     Home Team: vikings     Away Team: bills
 Game #10     Home Team: eagles     Away Team: colts
 Game #11     Home Team: redskins     Away Team: packers
 Game #12     Home Team: rams     Away Team: chargers
 Game #13     Home Team: cardinals     Away Team: bears
 Game #14     Home Team: seahawks     Away Team: cowboys
 Game #15     Home Team: lions     Away Team: patriots
 Game #16     Home Team: buccaneers     Away Team: steelers
