 Game #1     Home Team: patriots     Away Team: colts
 Game #2     Home Team: bills     Away Team: titans
 Game #3     Home Team: panthers     Away Team: giants
 Game #4     Home Team: bengals     Away Team: dolphins
 Game #5     Home Team: browns     Away Team: ravens
 Game #6     Home Team: lions     Away Team: packers
 Game #7     Home Team: chiefs     Away Team: jaguars
 Game #8     Home Team: jets     Away Team: broncos
 Game #9     Home Team: steelers     Away Team: falcons
 Game #10     Home Team: chargers     Away Team: raiders
 Game #11     Home Team: eagles     Away Team: vikings
 Game #12     Home Team: 49ers     Away Team: cardinals
 Game #13     Home Team: seahawks     Away Team: rams
 Game #14     Home Team: texans     Away Team: cowboys
 Game #15     Home Team: saints     Away Team: redskins
