 Game #1     Home Team: cardinals     Away Team: broncos
 Game #2     Home Team: chargers     Away Team: titans
 Game #3     Home Team: bears     Away Team: patriots
 Game #4     Home Team: colts     Away Team: bills
 Game #5     Home Team: jaguars     Away Team: texans
 Game #6     Home Team: chiefs     Away Team: bengals
 Game #7     Home Team: dolphins     Away Team: lions
 Game #8     Home Team: jets     Away Team: vikings
 Game #9     Home Team: eagles     Away Team: panthers
 Game #10     Home Team: buccaneers     Away Team: browns
 Game #11     Home Team: ravens     Away Team: saints
 Game #12     Home Team: redskins     Away Team: cowboys
 Game #13     Home Team: 49ers     Away Team: rams
 Game #14     Home Team: falcons     Away Team: giants
